radio,ரேடியோ
athirven,அதிர்வெண்
mudikkigal,முடுக்கிகள்
thugalkal,துகள்கள்
neradiyaga,நேரடியாக
mudukukirathu,முடுக்குகிறது
</s>,</s>
maan,மான்
vilaiyaadikondu,விளையாடிக்கொண்டு
vanthu,வந்து
unnai,உன்னை
modhinaal,மோதினால்
un,உன்
kaasumaiyilulla,காசுமணியிலுள்ள
muthukkal,முத்துக்கள்
sithari,சிதறி
vizhuvathu,விழுவது
pola,போல
kumizham,குமிழம்
palangal,பழங்கள்
kottum,கொட்டும்
vazhiyil,வழியில்
nee,நீ
ettamodu,எட்டமொடு
varukiraya,வருகிறாயா
endru,என்று
avar,அவர்
ketathundu,கேட்டதுண்டு
</s>,</s>
amirthakazhi,அமிர்தகழி
</s>,</s>
mohan,மோகன்
lal,லால்
gupta,குப்தா
jaipaurin,ஜெய்ப்பூரின்
munnal,முன்னாள்
mayoragavum,மேயராகவும்
indiyavin,இந்தியாவின்
rajasthan,ராஜஸ்தான்
sattamandra,சட்டமன்ற
uripinaragavum,உறுப்பினராகவும்
mla,எம்.எல்.ஏ
irukirar,இருக்கிறார்
</s>,</s>
delhi,தில்லி
maanila,மாநில
kooturavu,கூட்டுறவு
vangi,வங்கி
li,லி
</s>,</s>
avai,அவை
sevaikalai,சேவைகளை
vazhangum,வழங்கும்
iruppu,இருப்பு
saarntha,சார்ந்த
sothukalaagum,சொத்துகளாகும்
</s>,</s>
urusiya,உருசியப்
perarasu,பேரரசு
alasukkaavil,அலாசுக்காவில்
kudiyetrathai,குடியேற்றத்தை
niruvi,நிறுவி
kadal,கடல்
vazhiyaga,வழியாக
thol,தோல்
vanigathil,வணிகத்தில்
edupaduvathaaga,ஈடுபடுவதாக
kidaitha,கிடைத்த
seythiyaal,செய்தியால்
mel,மேல்
californiayavil,கலிபோர்னியாவில்
kudiyetrathai,குடியேற்றத்தை
uruvaakum,உருவாக்கும்
yesupaaniyaavin,எசுப்பானியாவின்
ennam,எண்ணம்
athigamagiyathu,அதிகமாகியது
</s>,</s>
ulagalaaviya,உலகளாவிய
kiramam,கிராமம்
allathu,அல்லது
puvi,புவிக்
kiramam,கிராமம்
global,Global
village,village
enbathu,என்பது
palveru,பல்வேறு
vithamaana,விதமான
thodarpu,தொடர்பு
saathangalin,சாதனங்களின்
payanpaatilnaal,பயன்பாட்டினால்
puviyanathu,புவியானது
oru,ஒரு
kiramamaga,கிராமமாகச்
surukappattathai,சுருக்கப்பட்டதை
uruvagikkum,உருவகிக்கும்
oru,ஒரு
sortrodar,சொற்றொடர்
aagum,ஆகும்
</s>,</s>
perumbalaana,பெரும்பாலான
noyaligal,நோயாளிகள்
idhya,இதய
sambanthamaana,சம்பந்தமான
kuraipaadukalil,குறைபாடுகளால்
paathigappadukindranar,பாதிக்கப்படுகின்றனர்
melum,மேலும்
noyaligalin,நோயாளிகளின்
kuruthi,குருதி
oottakurai,ஊட்டக்குறை
sariseyyappadamal,சரிசெய்யப்படாமல்
vidappadum,விடப்படும்
patchathil,பட்சத்தில்
avargal,அவர்கள்
pakkavaatham,பக்கவாதம்
mattrum,மற்றும்
thideer,திடீர்
